State,year_low,SV_range_low,SV_predom_low,SV_%_low,RV_range_low,RV_predom_low,RV_%_low,year_current,SV_range_current,SV_predom_current,SV_%_current,RV_range_current,RV_predom_current,RV_%_current,Peak_Sale,Peak_Sale%,Peak_Rental,Peak_Rental_%,occup_Land,occup_dwell,occup_home,sales_a,sales_b,sales_c,rental_a,rental_b,rental_c,const_types,const_amount,home_pur,home_build,Ten_Fifteen_Desirability,Remarks,inform,Date
Georgia,32-'33,"6,000 - 25,000","9,000",72,35 to 90,52.5,91,NA,"7,500 - 35,000","11,000",88,40 to 100,50,92,28-'29,100,28-'29,100,60,100,98,Fair,"$10,000 singles",Fair,Very good,$60 par M singles,Very good,"$12,500 singles","$150,000 (about 10)",Ample,Ample,Upward,"A-1 is exclusive residential section. A-1 contains about 15 houses, A-2 about 5, A-3 about 10, and A-4 about 10 making a total of approximately 40 houses in these four areas. In A-4 on the south side of Edgewood Drive, between Benning Boulevard and Brookwood Avenue, are located one or two properties whose repair condition entitles them to C grade rating.","Mr. H. Land, of Land Realty Company, and Mr. Henry F. Boyce, of Boyce Realty Company, who is also president of Columbus Real Estate Board",########
Georgia,32-'33,"6,000 - 25,000","9,000",72,35 to 90,52.5,91,NA,"7,500 - 35,000","11,000",88,40 to 100,50,92,28-'29,100,28-'29,100,60,100,98,Fair,"$10,000 singles",Fair,Very good,$60 par M singles,Very good,"$12,500 singles","$150,000 (about 10)",Ample,Ample,Upward,"A-1 is exclusive residential section. A-1 contains about 15 houses, A-2 about 5, A-3 about 10, and A-4 about 10 making a total of approximately 40 houses in these four areas. In A-4 on the south side of Edgewood Drive, between Benning Boulevard and Brookwood Avenue, are located one or two properties whose repair condition entitles them to C grade rating.","Mr. H. Land, of Land Realty Company, and Mr. Henry F. Boyce, of Boyce Realty Company, who is also president of Columbus Real Estate Board",########
Georgia,32 - '33,"4,000 to 10,000","6,000",80,35 - 60,40,80,NA,"5,000 to 13,000","6,750",90,40 - 65,45,90,28-'29,100,28-'29,100,75,100,85,Fair,"1-story, 6-room singles",Fair,Very good,$40-45 singles,Good,"$6,500 singles","$75,000 (about 15)",Ample,Ample,Static,"B-1 has about 40 houses; B-2 about 50; B-3 about 50; B-4 about 100; B-5 about 150; B-6 about 10, making a total of approximately 400 houses in these 6 areas. Jumping of a color grade along the southwestern boundary of B-2 (Blue to red) is explained by the fact that this portion of B-2 is on the top of a high hill which drops off abruptly to the adjoining negro property (d-4) below the crest of the hill. There is one large multiple unit apartment house in B-3. In the southeastern section of B-2, along both sides of Buena Vista Road, beginnign at Brown Avenue and extending about 2 blocks west, are a group of properties whose poor repair condition places same in the D classification, instead of B as shown by the map; also in this same area on the northeast corner of Edgewood Drive and Benning Boulevard are one or two large properties which should be classified as C grade property. In B-3 from 16th to 17th Streets east of Wildwood Avenue, are several large old properties which should be classified as C grade property",,########
Georgia,32 - '33,"4,000 to 10,000","6,000",80,35 - 60,40,80,NA,"5,000 to 13,000","6,750",90,40 - 65,45,90,28-'29,100,28-'29,100,75,100,85,Fair,"1-story, 6-room singles",Fair,Very good,$40-45 singles,Good,"$6,500 singles","$75,000 (about 15)",Ample,Ample,Static,"B-1 has about 40 houses; B-2 about 50; B-3 about 50; B-4 about 100; B-5 about 150; B-6 about 10, making a total of approximately 400 houses in these 6 areas. Jumping of a color grade along the southwestern boundary of B-2 (Blue to red) is explained by the fact that this portion of B-2 is on the top of a high hill which drops off abruptly to the adjoining negro property (d-4) below the crest of the hill. There is one large multiple unit apartment house in B-3. In the southeastern section of B-2, along both sides of Buena Vista Road, beginnign at Brown Avenue and extending about 2 blocks west, are a group of properties whose poor repair condition places same in the D classification, instead of B as shown by the map; also in this same area on the northeast corner of Edgewood Drive and Benning Boulevard are one or two large properties which should be classified as C grade property. In B-3 from 16th to 17th Streets east of Wildwood Avenue, are several large old properties which should be classified as C grade property",,########
Georgia,32 - '33,"4,000 to 10,000","6,000",80,35 - 60,40,80,NA,"5,000 to 13,000","6,750",90,40 - 65,45,90,28-'29,100,28-'29,100,75,100,85,Fair,"1-story, 6-room singles",Fair,Very good,$40-45 singles,Good,"$6,500 singles","$75,000 (about 15)",Ample,Ample,Static,"B-1 has about 40 houses; B-2 about 50; B-3 about 50; B-4 about 100; B-5 about 150; B-6 about 10, making a total of approximately 400 houses in these 6 areas. Jumping of a color grade along the southwestern boundary of B-2 (Blue to red) is explained by the fact that this portion of B-2 is on the top of a high hill which drops off abruptly to the adjoining negro property (d-4) below the crest of the hill. There is one large multiple unit apartment house in B-3. In the southeastern section of B-2, along both sides of Buena Vista Road, beginnign at Brown Avenue and extending about 2 blocks west, are a group of properties whose poor repair condition places same in the D classification, instead of B as shown by the map; also in this same area on the northeast corner of Edgewood Drive and Benning Boulevard are one or two large properties which should be classified as C grade property. In B-3 from 16th to 17th Streets east of Wildwood Avenue, are several large old properties which should be classified as C grade property",,########
Georgia,32 - '33,"4,000 to 10,000","6,000",80,35 - 60,40,80,NA,"5,000 to 13,000","6,750",90,40 - 65,45,90,28-'29,100,28-'29,100,75,100,85,Fair,"1-story, 6-room singles",Fair,Very good,$40-45 singles,Good,"$6,500 singles","$75,000 (about 15)",Ample,Ample,Static,"B-1 has about 40 houses; B-2 about 50; B-3 about 50; B-4 about 100; B-5 about 150; B-6 about 10, making a total of approximately 400 houses in these 6 areas. Jumping of a color grade along the southwestern boundary of B-2 (Blue to red) is explained by the fact that this portion of B-2 is on the top of a high hill which drops off abruptly to the adjoining negro property (d-4) below the crest of the hill. There is one large multiple unit apartment house in B-3. In the southeastern section of B-2, along both sides of Buena Vista Road, beginnign at Brown Avenue and extending about 2 blocks west, are a group of properties whose poor repair condition places same in the D classification, instead of B as shown by the map; also in this same area on the northeast corner of Edgewood Drive and Benning Boulevard are one or two large properties which should be classified as C grade property. In B-3 from 16th to 17th Streets east of Wildwood Avenue, are several large old properties which should be classified as C grade property",,########
Georgia,32 - '33,"4,000 to 10,000","6,000",80,35 - 60,40,80,NA,"5,000 to 13,000","6,750",90,40 - 65,45,90,28-'29,100,28-'29,100,75,100,85,Fair,"1-story, 6-room singles",Fair,Very good,$40-45 singles,Good,"$6,500 singles","$75,000 (about 15)",Ample,Ample,Static,"B-1 has about 40 houses; B-2 about 50; B-3 about 50; B-4 about 100; B-5 about 150; B-6 about 10, making a total of approximately 400 houses in these 6 areas. Jumping of a color grade along the southwestern boundary of B-2 (Blue to red) is explained by the fact that this portion of B-2 is on the top of a high hill which drops off abruptly to the adjoining negro property (d-4) below the crest of the hill. There is one large multiple unit apartment house in B-3. In the southeastern section of B-2, along both sides of Buena Vista Road, beginnign at Brown Avenue and extending about 2 blocks west, are a group of properties whose poor repair condition places same in the D classification, instead of B as shown by the map; also in this same area on the northeast corner of Edgewood Drive and Benning Boulevard are one or two large properties which should be classified as C grade property. In B-3 from 16th to 17th Streets east of Wildwood Avenue, are several large old properties which should be classified as C grade property",,########
Georgia,32 - '33,"4,000 to 10,000","6,000",80,35 - 60,40,80,NA,"5,000 to 13,000","6,750",90,40 - 65,45,90,28-'29,100,28-'29,100,75,100,85,Fair,"1-story, 6-room singles",Fair,Very good,$40-45 singles,Good,"$6,500 singles","$75,000 (about 15)",Ample,Ample,Static,"B-1 has about 40 houses; B-2 about 50; B-3 about 50; B-4 about 100; B-5 about 150; B-6 about 10, making a total of approximately 400 houses in these 6 areas. Jumping of a color grade along the southwestern boundary of B-2 (Blue to red) is explained by the fact that this portion of B-2 is on the top of a high hill which drops off abruptly to the adjoining negro property (d-4) below the crest of the hill. There is one large multiple unit apartment house in B-3. In the southeastern section of B-2, along both sides of Buena Vista Road, beginnign at Brown Avenue and extending about 2 blocks west, are a group of properties whose poor repair condition places same in the D classification, instead of B as shown by the map; also in this same area on the northeast corner of Edgewood Drive and Benning Boulevard are one or two large properties which should be classified as C grade property. In B-3 from 16th to 17th Streets east of Wildwood Avenue, are several large old properties which should be classified as C grade property",,########
Georgia,32-'33,"2,000 to 3,500","2,750",79,17 to 30,20,80,NA,"2,500 to 4,500","3,500",100,22.50 to 35 (a),27.50 (a),110,28-'29,100,28-'29,100,10,100,85,Good,"1-story $3,500 singles",Good,Very good,$30 singles,Good,"1-story $4,000 singles","$20,000 (about 7)",Ample (b),Ample (b),"Slightly upward temporarily on account of new school, then static later on","(a) There are about 40 houses in this area at the present time. About 30 of same have been built since 1929 and about 10 of this 30 have been completed since Jan. 1, 1937. In 1929 there were no paved streets in the area, which was then about 3/4 miles distant from adequate bus transportation as well as schools. Due principally to the erection of the new Industrial High School, the new residential construction in the area is of a higher type than that of the residence originally built in the area and, consequently, demands a better rental price. (b) Generally speaking, insurance companies will not lend in this area, but local individual lenders, building and loan associations , and ""Federals"" will, although at a slightly higher rate than in the other B areas (about 6%).","Mr. H. Land, of Land Realty Company, and Mr. Henry F. Boyce, of Boyce Realty Company, who is also president of Columbus Real Estate Board",3-May-37
Georgia,32-'33,"3,500 to 15,000 (a)","7,000 (a)",70 (a),25 to 60,40,73,NA,"4,000 to 15,000","8,500",85,40 to 75,45,82,28-'29,100,28-'29,100,95,100,80,Good,"1-story $5,000 singles",Good,Very good,$40 to 60 singles,Good,1 and 2-story brick singles,"$50,000 (about 10)",Ample,Ample,Slightly downward,"(a) Less than a dozen sales occurred in this area at the low, hence difficult to fix sale values at low. This area contains heterogeneous and spotted residential property. Some of the property should receive a B grade, the location of these groups of property are on the north side of Buena Vista Road, in the easter portion of Dinglewood; the eastern side of 16th Avenuue, from Wynnton Road to the alley north of 12th Street; and the northwest corner of Wynnton Road and Peacock Avenue. Also in this area, on the west side of Britt Avenue, midway between Wynnton Road and Schaul Street, is located the community fire station and a group of Negro rental property adjoining expensive residential property which fronts Wynnton Road.","Mr. H. Land, of Land Realty Company, and Mr. Henry F. Boyce, of Boyce Realty Company, who is also president of Columbus Real Estate Board",3-May-37
Georgia,32-'33,"1,750 to 2,500","2,300",66,17.50 to 40,27.5 (a),69 (a),NA,"2,500 to 6,000","3,000",86,25 to 50,32.5,81,28-'29,100,28-'29,100,900,100,50,Good,"1-story $3,500 singles",Fair,Good,$32.50 singles,Good,"1-story $4,000 singles","$25,000 (about 6)",Ample (b),Ample,Slightly downward,"(a)Rental prices did not go lower because of Army people at depression low furnished stronger rental demands than would ordinarily have prevailed. Most lenders restrict their loans in this area. At the northeast corner of Lawyer's Lane and Marion STreet are located one or two fine residences which are superior to the other property in the area and deserve a B rating. Also in this area, on the south side of Wynnton Road, just east of Tate Drive, are a group of Negro houses, with another group located on the east side of Britt Avenue, between Schaul and Marion Streets. On both sides of Francis Street, between Lawyer's Lane and Ada Avenue, are several properties whose repai condition entitles them to a D grade rating.","Mr. H. Land, of Land Realty Company, and Mr. Henry F. Boyce, of Boyce Realty Company, who is also president of Columbus Real Estate Board",4-May-37
Georgia,32-'33,"1,250 to 3,500","1,500",60,12.50 to 35,20,67,NA,"1,500 to 4,000","1,900",75,15 to 40,24,80,28-'29,100,28-'29,100,95,100,30,Fair,1-story 5-room singles,Fair,Good,$25 singles,Good,"1-story $3,000 singles","$25,000 (about 10)",Limited (a),Limited (b),Downward,"(a) Insurance companies will not lend in these areas and local lenders will only lend on a restricted basis. In C-5 many of the properties located on both sides of 10th Avenue, from 31 to 32 Streets and both sides of 32 Street, from 10th to 11th Avenues, are in such poor repair condition as to rate a D grading. A similar group of property is located at the northeast and southeast corners of 33rd Street and 12th Avenue. There is a small business section located at the intersection of River and Hamilton Roads. In C-6 there is a small business section located on Hamilton Road, from 26th to 29th Streets.","Mr. H. Land, of Land Realty Company, and Mr. Henry F. Boyce, of Boyce Realty Company, who is also president of Columbus Real Estate Board",5-May-37
Georgia,32-'33,"1,250 to 3,500","1,500",60,12.50 to 35,20,67,NA,"1,500 to 4,000","1,900",75,15 to 40,24,80,28-'29,100,28-'29,100,95,100,30,Fair,1-story 5-room singles,Fair,Good,$25 singles,Good,"1-story $3,000 singles","$25,000 (about 10)",Limited (a),Limited (b),Downward,"(a) Insurance companies will not lend in these areas and local lenders will only lend on a restricted basis. In C-5 many of the properties located on both sides of 10th Avenue, from 31 to 32 Streets and both sides of 32 Street, from 10th to 11th Avenues, are in such poor repair condition as to rate a D grading. A similar group of property is located at the northeast and southeast corners of 33rd Street and 12th Avenue. There is a small business section located at the intersection of River and Hamilton Roads. In C-6 there is a small business section located on Hamilton Road, from 26th to 29th Streets.","Mr. H. Land, of Land Realty Company, and Mr. Henry F. Boyce, of Boyce Realty Company, who is also president of Columbus Real Estate Board",5-May-37
Georgia,32-'33,"1,250 to 3,500","1,500",60,12.50 to 35,20,67,NA,"1,500 to 4,000","1,900",75,15 to 40,24,80,28-'29,100,28-'29,100,95,100,30,Fair,1-story 5-room singles,Fair,Good,$25 singles,Good,"1-story $3,000 singles","$25,000 (about 10)",Limited (a),Limited (b),Downward,"(a) Insurance companies will not lend in these areas and local lenders will only lend on a restricted basis. In C-5 many of the properties located on both sides of 10th Avenue, from 31 to 32 Streets and both sides of 32 Street, from 10th to 11th Avenues, are in such poor repair condition as to rate a D grading. A similar group of property is located at the northeast and southeast corners of 33rd Street and 12th Avenue. There is a small business section located at the intersection of River and Hamilton Roads. In C-6 there is a small business section located on Hamilton Road, from 26th to 29th Streets.","Mr. H. Land, of Land Realty Company, and Mr. Henry F. Boyce, of Boyce Realty Company, who is also president of Columbus Real Estate Board",5-May-37
Georgia,32-'33,"1,250 to 3,500","1,500",60,12.50 to 35,20,67,NA,"1,500 to 4,000","1,900",75,15 to 40,24,80,28-'29,100,28-'29,100,95,100,30,Fair,1-story 5-room singles,Fair,Good,$25 singles,Good,"1-story $3,000 singles","$25,000 (about 10)",Limited (a),Limited (b),Downward,"(a) Insurance companies will not lend in these areas and local lenders will only lend on a restricted basis. In C-5 many of the properties located on both sides of 10th Avenue, from 31 to 32 Streets and both sides of 32 Street, from 10th to 11th Avenues, are in such poor repair condition as to rate a D grading. A similar group of property is located at the northeast and southeast corners of 33rd Street and 12th Avenue. There is a small business section located at the intersection of River and Hamilton Roads. In C-6 there is a small business section located on Hamilton Road, from 26th to 29th Streets.","Mr. H. Land, of Land Realty Company, and Mr. Henry F. Boyce, of Boyce Realty Company, who is also president of Columbus Real Estate Board",5-May-37
Georgia,32-33,"7,000 - 17,500","10,500",78,No rental range available,NA,NA,1937,"8,000 - 24,000","12,500",93,Only 2 houses rented in A-1 and A-2,NA,NA,1928,110,1928,110,25,100,97,Good,"$15,000 2 story singles",Good,Not rental area,(only 2 rental units available),,"$15,000 Singles","A-1, 5 for $60,000 good A-2, 3 for 40,000 8 for 100,000",Ample,Ample,Up,A-1 is outside the city and has average lots of about 1 acre. Lots in A-2 range from 60 to 100 feet frontage. Both subdivisions were developed about 1927. Red area D-12 is separated from A-2 by railroad in deep cut. Yellow area C-2 is older type property; not as highly restricted as A-2.,"Kenmore Burns, Jr., Manager, Kenmore Burns, Inc., Macon realtors; also, personal inspection by Field Agent.",June 12 1937
Georgia,32-33,"7,000 - 17,500","10,500",78,No rental range available,NA,NA,1937,"8,000 - 24,000","12,500",93,Only 2 houses rented in A-1 and A-2,NA,NA,1928,110,1928,110,25,100,97,Good,"$15,000 2 story singles",Good,Not rental area,(only 2 rental units available),,"$15,000 Singles","A-1, 5 for $60,000 good A-2, 3 for 40,000 8 for 100,000",Ample,Ample,Up,A-1 is outside the city and has average lots of about 1 acre. Lots in A-2 range from 60 to 100 feet frontage. Both subdivisions were developed about 1927. Red area D-12 is separated from A-2 by railroad in deep cut. Yellow area C-2 is older type property; not as highly restricted as A-2.,"Kenmore Burns, Jr., Manager, Kenmore Burns, Inc., Macon realtors; also, personal inspection by Field Agent.",June 12 1937
Georgia,32-33,"3,000 - 6,500","5,000",67,35 - 50,35,664,1937,"4,500 - 7,500","6,000",80,40 -60,42.5,77,1928,110,1928,110,55,95,80,Good,"1 story, $5,000 singles",Good,Good,$40 singles,Good,"2 story $10,000 singles","$125,000 (about 12)",Ample,Ample,Static - still desirable.,"Red area D-1, known as Crumps Park comprises a section 100% built up of old homes of cheap construction; city's development began at outskirts of this area D-1 and grew northward with better type of construction predominating. B-1, separated by deep railroad out from red area D-8. There is a small cluster of negro rental units located at end of Auburn Road and Belvedere Drive, along east side of Overlook Avenue. There are a number of one and two-story residences fronting on Vista Circle which would justify a higher rating, were it not for the fact that the general character of the neighborhood tends to give same a lower rating.","Kenmore Burns, Jr., Manager, Kenmore Burns, Inc., Macon realtor; also, personal inspection by Field Agent.",########
Georgia,32-33,"4,000 - 10,000","5,500",79,30 - 55,45,75,1937,"4,000 - 10,000","6,000",86,40 - 75,50,83,1928,110,1928,110,80,100,90,Good,"1 story, $5,000 singles",Good,Good,$50 per mo. Singles,Good,"1 story, $6,000 sinlges","$50,000 (about 8)",Ample,Ample,Static - still desirable,Homes along Texas Avenue in B-2 are not as high type as remainder of area.,"Kenmore Burns, Jr., Manager, Kenmore Burns, Inc., Macon realtor; also, personal inspection by Field Agent.",########
Georgia,32-33,"4,000 - 10,000","5,500",79,30 - 55,45,75,1937,"4,000 - 10,000","6,000",86,40 - 75,50,83,1928,110,1928,110,80,100,90,Good,"1 story, $5,000 singles",Good,Good,$50 per mo. Singles,Good,"1 story, $6,000 sinlges","$50,000 (about 8)",Ample,Ample,Static - still desirable,Homes along Texas Avenue in B-2 are not as high type as remainder of area.,"Kenmore Burns, Jr., Manager, Kenmore Burns, Inc., Macon realtor; also, personal inspection by Field Agent.",########
Georgia,32-33,"4,000 - 15,000","4,000",62,$36 - 75 [Approximate guess],35,64,1937,"5,000 - 15,000","4,750",73,$40 - 75 [Approximate guess],40,73,1928,110,1928,110,90,98,65,Good,"1 story, $5,000 singles",Good,Good,$40 singles,Good,None,"$3,500 (1 house)",Ample on restricted basis,Ample on restricted basis,"Stable for next ten years, ten slowly downward, depending upon growth and development of Macon.","Predominance of modern type residences influential in giving area stable rating. Negro settlement known as Berthadale (Berthadale) is about 300 yeards east of this area and is far enough removed from B-4 to not exact a detrimental influence on the area; 10 years is maximum term for lenders in this area (60% loans at 6%), except Title II loans, which can be obtained on 80% basis for 20 year term (only new construction). Most of the high class residences and higher income resident are confined to area consisting of both sides of Vineville Road from Rogers Avenue to Stonewell Place. [Text is approximate]","Kenmore Burns, Jr., Manager, Kenmore Burns, Inc., Macon realtor; also, personal inspection by Field Agent.",########
Georgia,32-33,"4000 - 6,000",4000,73%,30 - 45,30,75%,1937,"4,500 - 6,000","4,500",82%,35 - 45,35,88%,1928,110,1928,110,85,99,65,Fair,"1 story 4,500 singles",Fair,Good,$35 singles,Good,"1 story 4,500 singles","$25,000 (about 5)",Ample on restricted basis Except title II,"Ample on restricted basic, except Title II.","Stable for next few years, then slowly downward.","Cherokee Gardens is newer section than Cherokee Heights and contains houses of less substantial construction, but has greater sales demand at lower than the Cherokee Heights average price level. Cherokee Heights is nearly 100% built up. Sales demand in the area is less than that of any other B area.","Kenmore Burns, Jr., Manager, Kenmore Burns, Inc., Macon realtor; also, personal inspection by Field Agent.",########
Georgia,32-33,"%,000 - 6,500","5,000",77%,30 - 45,35,78%,1937,"5,000 - 7,500","5,500",85%,35 - 50,40,89%,1928,110,1928,110,55,100,75,Good,"1 story $5,500 singles",Fair but increasing,Good,$40 singles,Good,"1 story $5,500","$40,000 (about 9)",Ample,Ample,Static with slight upward tendency.,Norther portion of red area D-10 abutting eastern portion of B-5 is undeveloped and probability of utilization for residential purposes rendered remote because of physical contour of terrain (steep bank and open creek).,"Kenmore Burns, Jr., Manager, Kenmore Burns, Inc., Macon realtor; also, personal inspection by Field Agent.",########
Indiana,1935,,3000,60,,25,62-1/2,1937,,4500,85,$25 - 35,40,100,1926-28,100,26-28,100,95,100,80,Good,Singles $4500-5000,Good,Good,Singles at $40-50,Good,5 & 6-rm frame singles,20,Good,Good,Will hold well.,,,
Indiana,1935,,2000,60,,15,45,1937,,3500,100,$25-40,35,100,1929,,1929,,85,100,80,Good,Singles at $3500,Good,Good,Singles at $35,Good,Single frames of 5 and 6 rooms,15,Good,Good,Desirable area; should hold up well.,,,
Indiana,1935,,3000,75,,,,1937,,4000,100,,,,,,,,85,100,90,Good,Singles $4000-4500,Good,OWNER AREA,,,Single frames of 5 to 8 rooms,10: 2 brick 8 frame,Good,Good,Will stand up well.,,,
Indiana,1935,"25,000-40,000",,,,,,1937,"25,000-40,000",,,,,,1937,,1937,,70,100,100,Poor,,Poor,OWNER AREA,,,Occupancy by owners,One,below,,,,,
Indiana,1935,,1500,75,,15,75,1937,,2000,,,25,125,1929,,1929,,25,100,60,Slow,Singles at $2000,Slow,Good,Singles at $25,Good,4-rm frame singles,6 or 8,Limited,Limited,"Declining, and probably should be in ""red"", except that it is new. Mortgage money is",,,
Illinois,1932,3500-15000,5100,60,27 - 75,33,60,NA,4200-17500,5950,70,36 - 100,44,80,1929,-,1929,-,65,99,60,Fair,Single family $6000,Poor,Good,$45.00,Good,"1 family brick,$7000",None,ample,ample for home owners only,Upward,"Vacant lots are in fair demand in this area. On Campbell and Wilcox is a brick apartment of 20 units, well kept up. Around Raynor and Mason are 3 brick apartments from 5-8 units, well kept up. And there are several 2 unit brick and a few frame interspersed throughout the area. East of Raynor and south of Western is oldest part of area, and from Prairie west there are no pavements except Western which is paved to Reed St, otherwise area has all utilities. The western part of area from Reed St. to Midland Ave. between Mayfield and Glenwood has temporary sewers only - reported as being remedied by W.P.A at this time. There are many _old frame homes_ interspersed throughout the area. The extreme N.W. section of area if outside city limits. All sections of area marked undeveloped on the west has no city sewers or water.","Ed. Dailey, HOLC Service Dept. 10 years in real estate and brokerage business in Joliet.","August 13, 1937"
Illinois,1932,3000,3000,60%,21 - 24,22.5,60,NA,4000,4000,80,31.50 - 36,33.75,90,1929,-,1929,-,30,100,80,Fair,"1 family, $3500",Fair,Good,$35,Good,"1 family, 5 room, $5000",None,limited,limited,Up,Outside city limits. Have local water and sewage system. Bus transportation only fair. Known as Maynor Park.,"Ed. Daily Service Dept., HOLC 10 years in real estate and brokerage business in Joliet","August 13, 1937"
